bir_kinoteatr;Кинотеатр Родина в Бироибджане;1094_67.0, 1116_71.0;;;;;;
bir_kladbiche;Городское кладбище в Биробиджане;1092_41.0, 1092_42.0, 1107_3.0;памятник находится за благовещенским собором;;;;;
bir_lukashi;Район Лукаши в Биробиджане;1092_52.0;;;;;;
bir_mash_traktor_st;Машинно-тракторная станция в Биробиджане (ныне машинно-технологическая станция);1089_15.0;;;;;;
bir_memorial;Мемориал воинам в сквере в Биробиджане;1092_28.0, 1092_29.0, 1092_31.0;;;;;;
bir_memorial_kholokost;Обелиск жертвам Холокоста (община);1093_52.0, 1093_53.0, 1120_39.0;;;;;;
bir_memorial_liberberg;Мемориальная доска И. Либербергу;1092_66.0;;;;;;
bir_memorial_lv;Мемориальная доска поэтессе Любови Вассерман в Биробиджане;1092_64.0, 1092_65.0;;;;;;
bir_memorial_peresel;Памятник первым переселенцам в Биробиджане;1087_27.0;;;;;;
bir_memorial_repres;Памятник жертвам репрессий в Биробиджане;1092_59.0, 1096_52.0;;;;;;
bir_memorial_sholom;Памятник Шолом-Алейхему в Биробиджане;1092_63.0, 1116_125.0, 1116_126.0;;;;;;
bir_memorial_ts;Мемориальная доска Тиунэ Сугихара на вокзале в Биробиджане;1093_65.0, 1093_71.0;;;;;;
bir_minora;Детский сад (с еврейским компонентом) в Биробиджане;1092_22.0;;;;;;
bir_molodej_centr;Молодежный центр в Биробиджане;1110_34.0, 1110_58.0;;;;;;
bir_molodoy;Организация Биробиджан молодой;1106_4.0, 1106_5.0;;;;;;
bir_museum_iudaika;Музей иудаики при синагоге в Биробиджане;1093_148.0, 1104_47.0;;;;;;
bir_museum_stroitel;Музей Строителей в Биробиджане;1110_47.0;;;;;;
bir_music_colledge;Музыкальный колледж в Биробиджане;1103_34.0;;;;;;
bir_music_school;Музыкальная школа в Биробиджане;1103_34.0;;;;;;
bir_oboz_zavod;Район Обозовский завод в Биробиджане;1092_52.0;;;;;;
bir_park_u_vokzal;Парк по пути на вокзал в Биробиджане.;1092_49.0, 1103_42.0;;;;;;
bir_pochta;Район Почта в Биробиджане;1092_52.0, 1078_13.0, 1078_14.0;;;;;;
bir_polsha;Район Польша в Биробиджане;1078_20.0;;;;;;
bir_redaktsia_gazet;Редакция газеты Биробиджан Штерн;1103_19.0, 1104_59.0, 1115_7.0;;;;;;
bir_rest_felichita;Ресторан Феличита, бывший ресторан Восток в Биробиджане;1116_68.0;;;;;;
bir_school_23;Школа №23 (еврейская) в городе Биробиджане;1092_22.0, 1087_2.0, 1087_19.0, 1110_64.0, 1104_62.0;;;;;;
